id,subject,model_name,n_shot,correct_answer,model_answer,correct_prob,prob_A,prob_B,prob_C,prob_D
abstract_algebra_36,abstract_algebra,olmo3-7b,0,D,C,0.0869140625,0.34912109375,0.006099700927734375,0.55810546875,0.0869140625
abstract_algebra_37,abstract_algebra,olmo3-7b,0,B,D,9.715557098388672e-06,1.722574234008789e-05,9.715557098388672e-06,2.467632293701172e-05,1.0
abstract_algebra_38,abstract_algebra,olmo3-7b,0,C,A,0.046478271484375,0.495849609375,0.26953125,0.046478271484375,0.188232421875
abstract_algebra_39,abstract_algebra,olmo3-7b,0,D,C,8.33272933959961e-05,0.001956939697265625,8.463859558105469e-05,0.998046875,8.33272933959961e-05
abstract_algebra_40,abstract_algebra,olmo3-7b,0,C,A,0.0197296142578125,0.935546875,0.041107177734375,0.0197296142578125,0.003536224365234375
abstract_algebra_41,abstract_algebra,olmo3-7b,0,A,D,0.09002685546875,0.09002685546875,0.10693359375,0.168212890625,0.634765625
abstract_algebra_42,abstract_algebra,olmo3-7b,0,B,C,0.00034308433532714844,0.001056671142578125,0.00034308433532714844,0.9912109375,0.007221221923828125
abstract_algebra_43,abstract_algebra,olmo3-7b,0,C,C,0.7646484375,0.233154296875,0.0002951622009277344,0.7646484375,0.002017974853515625
abstract_algebra_44,abstract_algebra,olmo3-7b,0,C,C,0.787109375,0.00975799560546875,0.152587890625,0.787109375,0.050323486328125
abstract_algebra_45,abstract_algebra,olmo3-7b,0,C,C,1.0,1.0132789611816406e-05,3.874301910400391e-06,1.0,3.0219554901123047e-05
abstract_algebra_46,abstract_algebra,olmo3-7b,0,B,C,0.01338958740234375,0.0010986328125,0.01338958740234375,0.96826171875,0.0171966552734375
abstract_algebra_47,abstract_algebra,olmo3-7b,0,B,C,0.005413055419921875,0.0026798248291015625,0.005413055419921875,0.96875,0.0231475830078125
abstract_algebra_48,abstract_algebra,olmo3-7b,0,C,C,0.95458984375,0.040008544921875,0.0036640167236328125,0.95458984375,0.0019006729125976562
abstract_algebra_49,abstract_algebra,olmo3-7b,0,B,C,0.394287109375,0.0019435882568359375,0.394287109375,0.56494140625,0.039031982421875
abstract_algebra_50,abstract_algebra,olmo3-7b,0,D,C,4.5418739318847656e-05,7.033348083496094e-05,3.159046173095703e-06,1.0,4.5418739318847656e-05
abstract_algebra_51,abstract_algebra,olmo3-7b,0,B,C,0.006824493408203125,0.0029354095458984375,0.006824493408203125,0.98193359375,0.00849151611328125
abstract_algebra_52,abstract_algebra,olmo3-7b,0,A,D,0.143798828125,0.143798828125,0.0028934478759765625,0.05126953125,0.80224609375
abstract_algebra_53,abstract_algebra,olmo3-7b,0,C,C,0.72509765625,0.142822265625,0.09814453125,0.72509765625,0.033905029296875
abstract_algebra_54,abstract_algebra,olmo3-7b,0,B,B,0.99462890625,0.0053863525390625,0.99462890625,2.0682811737060547e-05,3.892183303833008e-05
abstract_algebra_55,abstract_algebra,olmo3-7b,0,A,C,0.05657958984375,0.05657958984375,0.0002105236053466797,0.94189453125,0.0012493133544921875
abstract_algebra_56,abstract_algebra,olmo3-7b,0,D,C,0.0011510848999023438,0.00037360191345214844,0.0001251697540283203,0.99853515625,0.0011510848999023438
abstract_algebra_57,abstract_algebra,olmo3-7b,0,B,B,0.8125,0.0897216796875,0.8125,0.00397491455078125,0.09405517578125
abstract_algebra_58,abstract_algebra,olmo3-7b,0,A,C,0.0772705078125,0.0772705078125,0.06927490234375,0.74462890625,0.10894775390625
abstract_algebra_59,abstract_algebra,olmo3-7b,0,A,C,0.366455078125,0.366455078125,0.0005507469177246094,0.6328125,4.8100948333740234e-05
abstract_algebra_60,abstract_algebra,olmo3-7b,0,D,C,0.0048828125,0.0167694091796875,0.033355712890625,0.94482421875,0.0048828125
abstract_algebra_61,abstract_algebra,olmo3-7b,0,D,C,0.0006799697875976562,0.011322021484375,3.30805778503418e-05,0.98779296875,0.0006799697875976562
abstract_algebra_62,abstract_algebra,olmo3-7b,0,C,C,0.8583984375,0.0948486328125,0.0221710205078125,0.8583984375,0.02435302734375
abstract_algebra_63,abstract_algebra,olmo3-7b,0,B,A,0.0009074211120605469,0.9345703125,0.0009074211120605469,0.0008931159973144531,0.0635986328125
abstract_algebra_64,abstract_algebra,olmo3-7b,0,B,C,3.4749507904052734e-05,0.0017004013061523438,3.4749507904052734e-05,0.998046875,3.421306610107422e-05
abstract_algebra_65,abstract_algebra,olmo3-7b,0,C,C,0.681640625,0.037872314453125,0.27978515625,0.681640625,0.00041413307189941406
abstract_algebra_66,abstract_algebra,olmo3-7b,0,D,C,0.018707275390625,0.0145721435546875,0.20751953125,0.75927734375,0.018707275390625
abstract_algebra_67,abstract_algebra,olmo3-7b,0,C,A,0.0010404586791992188,0.90283203125,0.09368896484375,0.0010404586791992188,0.002574920654296875
abstract_algebra_68,abstract_algebra,olmo3-7b,0,A,D,0.05584716796875,0.05584716796875,0.044189453125,0.270751953125,0.62939453125
abstract_algebra_69,abstract_algebra,olmo3-7b,0,A,C,0.05816650390625,0.05816650390625,0.0003352165222167969,0.9384765625,0.002895355224609375
abstract_algebra_70,abstract_algebra,olmo3-7b,0,D,D,0.58740234375,0.0266265869140625,0.2486572265625,0.1373291015625,0.58740234375
abstract_algebra_71,abstract_algebra,olmo3-7b,0,C,B,0.260498046875,8.881092071533203e-05,0.49462890625,0.260498046875,0.2447509765625
abstract_algebra_72,abstract_algebra,olmo3-7b,0,D,A,0.002750396728515625,0.9794921875,0.00045609474182128906,0.0173797607421875,0.002750396728515625
abstract_algebra_73,abstract_algebra,olmo3-7b,0,B,A,0.1451416015625,0.382568359375,0.1451416015625,0.1923828125,0.27978515625
abstract_algebra_74,abstract_algebra,olmo3-7b,0,D,C,0.0164337158203125,0.1158447265625,0.01165008544921875,0.85595703125,0.0164337158203125
abstract_algebra_75,abstract_algebra,olmo3-7b,0,B,C,0.2366943359375,0.2724609375,0.2366943359375,0.47802734375,0.0127410888671875
abstract_algebra_76,abstract_algebra,olmo3-7b,0,C,C,0.783203125,0.017578125,0.1566162109375,0.783203125,0.042816162109375
abstract_algebra_77,abstract_algebra,olmo3-7b,0,A,D,0.055633544921875,0.055633544921875,0.005771636962890625,0.0266876220703125,0.912109375
abstract_algebra_78,abstract_algebra,olmo3-7b,0,D,C,0.022918701171875,0.0004398822784423828,0.061309814453125,0.91552734375,0.022918701171875
abstract_algebra_79,abstract_algebra,olmo3-7b,0,C,C,0.61181640625,0.259033203125,0.07196044921875,0.61181640625,0.056915283203125
abstract_algebra_80,abstract_algebra,olmo3-7b,0,B,C,0.0001004338264465332,0.00279998779296875,0.0001004338264465332,0.9970703125,0.0001289844512939453
abstract_algebra_81,abstract_algebra,olmo3-7b,0,D,A,0.00026106834411621094,0.88232421875,1.4066696166992188e-05,0.1175537109375,0.00026106834411621094
abstract_algebra_82,abstract_algebra,olmo3-7b,0,A,A,0.50341796875,0.50341796875,0.0098114013671875,0.472900390625,0.0140533447265625
abstract_algebra_83,abstract_algebra,olmo3-7b,0,C,C,0.900390625,0.068359375,0.0143280029296875,0.900390625,0.0170135498046875
abstract_algebra_84,abstract_algebra,olmo3-7b,0,D,C,0.1142578125,0.1883544921875,0.0192413330078125,0.67822265625,0.1142578125
abstract_algebra_85,abstract_algebra,olmo3-7b,0,C,C,0.87841796875,0.006011962890625,0.1099853515625,0.87841796875,0.005390167236328125
abstract_algebra_86,abstract_algebra,olmo3-7b,0,A,C,0.03216552734375,0.03216552734375,0.00852203369140625,0.95458984375,0.004489898681640625
abstract_algebra_87,abstract_algebra,olmo3-7b,0,A,A,0.9677734375,0.9677734375,0.00557708740234375,0.0074462890625,0.0191650390625
abstract_algebra_88,abstract_algebra,olmo3-7b,0,A,A,0.86572265625,0.86572265625,0.0067138671875,0.08709716796875,0.040496826171875
abstract_algebra_89,abstract_algebra,olmo3-7b,0,C,C,0.892578125,0.03460693359375,0.0721435546875,0.892578125,0.0006642341613769531
abstract_algebra_90,abstract_algebra,olmo3-7b,0,D,A,0.0015687942504882812,0.6845703125,0.0007767677307128906,0.313232421875,0.0015687942504882812
abstract_algebra_91,abstract_algebra,olmo3-7b,0,B,B,0.50146484375,0.003597259521484375,0.50146484375,0.428955078125,0.0657958984375
abstract_algebra_92,abstract_algebra,olmo3-7b,0,B,A,0.00070953369140625,0.9990234375,0.00070953369140625,0.00010544061660766602,0.0002338886260986328
abstract_algebra_93,abstract_algebra,olmo3-7b,0,A,A,0.93408203125,0.93408203125,0.0016164779663085938,0.001720428466796875,0.06256103515625
abstract_algebra_94,abstract_algebra,olmo3-7b,0,D,C,0.005123138427734375,0.1029052734375,0.002742767333984375,0.88916015625,0.005123138427734375
abstract_algebra_95,abstract_algebra,olmo3-7b,0,C,B,0.321044921875,0.03436279296875,0.63818359375,0.321044921875,0.0064544677734375
abstract_algebra_96,abstract_algebra,olmo3-7b,0,B,A,8.45789909362793e-05,0.90771484375,8.45789909362793e-05,0.06787109375,0.024200439453125
abstract_algebra_97,abstract_algebra,olmo3-7b,0,C,B,0.1036376953125,0.00040411949157714844,0.85400390625,0.1036376953125,0.0418701171875
abstract_algebra_98,abstract_algebra,olmo3-7b,0,C,D,0.0031948089599609375,0.0002090930938720703,0.008544921875,0.0031948089599609375,0.98828125
abstract_algebra_99,abstract_algebra,olmo3-7b,0,C,C,0.8125,0.00013494491577148438,0.1871337890625,0.8125,0.0001481771469116211
anatomy_0,anatomy,olmo3-7b,0,A,C,0.2275390625,0.2275390625,0.0025272369384765625,0.72314453125,0.04693603515625
anatomy_1,anatomy,olmo3-7b,0,B,B,0.9189453125,0.07781982421875,0.9189453125,0.0027904510498046875,0.0006127357482910156
anatomy_2,anatomy,olmo3-7b,0,A,A,0.9970703125,0.9970703125,0.001499176025390625,0.00128173828125,0.0002543926239013672
anatomy_3,anatomy,olmo3-7b,0,C,C,0.7041015625,0.0170745849609375,0.259033203125,0.7041015625,0.0199737548828125
anatomy_4,anatomy,olmo3-7b,0,B,B,0.99853515625,0.000606536865234375,0.99853515625,0.0008292198181152344,2.580881118774414e-05
anatomy_5,anatomy,olmo3-7b,0,B,C,0.00019502639770507812,0.024383544921875,0.00019502639770507812,0.9736328125,0.0016851425170898438
anatomy_6,anatomy,olmo3-7b,0,A,A,0.70263671875,0.70263671875,0.27099609375,0.024810791015625,0.0014438629150390625
anatomy_7,anatomy,olmo3-7b,0,B,B,1.0,8.463859558105469e-06,1.0,1.0371208190917969e-05,2.980232238769531e-07
anatomy_8,anatomy,olmo3-7b,0,C,C,0.53564453125,0.00643157958984375,0.047515869140625,0.53564453125,0.41064453125
anatomy_9,anatomy,olmo3-7b,0,D,C,0.004070281982421875,8.851289749145508e-05,1.6093254089355469e-06,0.99560546875,0.004070281982421875
anatomy_10,anatomy,olmo3-7b,0,D,B,0.2313232421875,0.090576171875,0.54638671875,0.1318359375,0.2313232421875
anatomy_11,anatomy,olmo3-7b,0,D,C,0.014556884765625,0.174560546875,0.003566741943359375,0.80712890625,0.014556884765625
anatomy_12,anatomy,olmo3-7b,0,D,D,0.56494140625,0.0006513595581054688,0.43310546875,0.0012950897216796875,0.56494140625
anatomy_13,anatomy,olmo3-7b,0,B,B,0.5029296875,0.004283905029296875,0.5029296875,0.35107421875,0.141845703125
anatomy_14,anatomy,olmo3-7b,0,A,C,0.0777587890625,0.0777587890625,0.0008912086486816406,0.91796875,0.0032596588134765625
anatomy_15,anatomy,olmo3-7b,0,C,C,0.732421875,0.0038433074951171875,0.002811431884765625,0.732421875,0.260986328125
anatomy_16,anatomy,olmo3-7b,0,B,B,0.85205078125,0.0041351318359375,0.85205078125,0.05279541015625,0.0911865234375
anatomy_17,anatomy,olmo3-7b,0,D,D,0.99951171875,0.00026106834411621094,1.4901161193847656e-06,6.866455078125e-05,0.99951171875
anatomy_18,anatomy,olmo3-7b,0,D,C,0.011322021484375,0.0008869171142578125,4.214048385620117e-05,0.98779296875,0.011322021484375
anatomy_19,anatomy,olmo3-7b,0,C,C,1.0,3.707408905029297e-05,3.635883331298828e-06,1.0,5.960464477539063e-08
anatomy_20,anatomy,olmo3-7b,0,C,B,0.061004638671875,0.443603515625,0.494873046875,0.061004638671875,0.0003800392150878906
anatomy_21,anatomy,olmo3-7b,0,C,B,0.0804443359375,0.259765625,0.65283203125,0.0804443359375,0.007030487060546875
anatomy_22,anatomy,olmo3-7b,0,B,A,0.0004658699035644531,0.5029296875,0.0004658699035644531,0.495361328125,0.001190185546875
anatomy_23,anatomy,olmo3-7b,0,B,A,0.0036716461181640625,0.986328125,0.0036716461181640625,0.00839996337890625,0.001415252685546875
anatomy_24,anatomy,olmo3-7b,0,B,B,0.5908203125,0.40625,0.5908203125,0.0016088485717773438,0.0012531280517578125
anatomy_25,anatomy,olmo3-7b,0,C,A,0.0006561279296875,0.99853515625,5.91278076171875e-05,0.0006561279296875,0.0005354881286621094
anatomy_26,anatomy,olmo3-7b,0,C,C,1.0,3.5762786865234375e-07,0.0,1.0,0.0
anatomy_27,anatomy,olmo3-7b,0,A,C,0.2421875,0.2421875,0.10748291015625,0.5205078125,0.129638671875
anatomy_28,anatomy,olmo3-7b,0,C,A,0.3427734375,0.6015625,0.05340576171875,0.3427734375,0.00200653076171875
anatomy_29,anatomy,olmo3-7b,0,B,D,0.006122589111328125,0.0004100799560546875,0.006122589111328125,0.04119873046875,0.9521484375
anatomy_30,anatomy,olmo3-7b,0,C,C,1.0,0.0001634359359741211,4.231929779052734e-06,1.0,2.485513687133789e-05
anatomy_31,anatomy,olmo3-7b,0,A,B,0.00970458984375,0.00970458984375,0.990234375,7.587671279907227e-05,6.002187728881836e-05
anatomy_32,anatomy,olmo3-7b,0,B,B,0.8701171875,0.0001900196075439453,0.8701171875,0.12939453125,0.0001266002655029297
anatomy_33,anatomy,olmo3-7b,0,B,D,1.6689300537109375e-05,0.00021314620971679688,1.6689300537109375e-05,4.607439041137695e-05,0.99951171875
anatomy_34,anatomy,olmo3-7b,0,C,B,0.12249755859375,0.001949310302734375,0.8369140625,0.12249755859375,0.038543701171875
anatomy_35,anatomy,olmo3-7b,0,C,C,0.98486328125,0.003963470458984375,0.00980377197265625,0.98486328125,0.0014123916625976562
anatomy_36,anatomy,olmo3-7b,0,D,D,0.99951171875,0.0003352165222167969,3.6954879760742188e-06,5.429983139038086e-05,0.99951171875
anatomy_37,anatomy,olmo3-7b,0,C,C,0.8525390625,0.1435546875,0.00359344482421875,0.8525390625,0.000370025634765625
anatomy_38,anatomy,olmo3-7b,0,D,C,0.00970458984375,0.00017774105072021484,7.88569450378418e-05,0.990234375,0.00970458984375
anatomy_39,anatomy,olmo3-7b,0,C,C,1.0,1.233816146850586e-05,0.0,1.0,5.960464477539063e-08
anatomy_40,anatomy,olmo3-7b,0,C,B,0.243896484375,0.00090789794921875,0.75146484375,0.243896484375,0.0037631988525390625
anatomy_41,anatomy,olmo3-7b,0,C,A,0.0184326171875,0.69189453125,0.2281494140625,0.0184326171875,0.0614013671875
anatomy_42,anatomy,olmo3-7b,0,B,D,0.030364990234375,0.017852783203125,0.030364990234375,0.23876953125,0.712890625
anatomy_43,anatomy,olmo3-7b,0,C,C,0.908203125,0.00010126829147338867,0.08990478515625,0.908203125,0.0016727447509765625
anatomy_44,anatomy,olmo3-7b,0,A,C,0.0126953125,0.0126953125,0.035614013671875,0.9326171875,0.0190582275390625
anatomy_45,anatomy,olmo3-7b,0,C,C,0.865234375,0.1265869140625,0.00611114501953125,0.865234375,0.0017786026000976562
anatomy_46,anatomy,olmo3-7b,0,B,B,0.984375,0.01494598388671875,0.984375,0.0005278587341308594,7.903575897216797e-05
anatomy_47,anatomy,olmo3-7b,0,C,C,1.0,4.684925079345703e-05,0.0,1.0,1.1920928955078125e-07
anatomy_48,anatomy,olmo3-7b,0,A,C,0.0172271728515625,0.0172271728515625,0.0111236572265625,0.970703125,0.0011539459228515625
anatomy_49,anatomy,olmo3-7b,0,C,B,0.006439208984375,0.06207275390625,0.92626953125,0.006439208984375,0.0051727294921875
anatomy_50,anatomy,olmo3-7b,0,D,D,0.5078125,0.01331329345703125,0.002277374267578125,0.476806640625,0.5078125
anatomy_51,anatomy,olmo3-7b,0,D,A,0.021209716796875,0.7138671875,0.054168701171875,0.2109375,0.021209716796875
anatomy_52,anatomy,olmo3-7b,0,B,B,0.9384765625,0.00035119056701660156,0.9384765625,0.0067291259765625,0.05462646484375
anatomy_53,anatomy,olmo3-7b,0,B,D,0.1708984375,0.27294921875,0.1708984375,0.0770263671875,0.479248046875
anatomy_54,anatomy,olmo3-7b,0,B,B,0.5009765625,0.328369140625,0.5009765625,0.16259765625,0.0082244873046875
anatomy_55,anatomy,olmo3-7b,0,D,A,0.151123046875,0.8427734375,0.001651763916015625,0.00470733642578125,0.151123046875
anatomy_56,anatomy,olmo3-7b,0,A,D,0.374755859375,0.374755859375,0.008026123046875,0.0275726318359375,0.58984375
anatomy_57,anatomy,olmo3-7b,0,C,C,1.0,1.1920928955078125e-07,5.960464477539063e-08,1.0,0.0
anatomy_58,anatomy,olmo3-7b,0,D,D,0.99951171875,0.0002913475036621094,5.960464477539062e-07,1.1920928955078125e-07,0.99951171875
anatomy_59,anatomy,olmo3-7b,0,D,C,0.02471923828125,0.0018758773803710938,0.0015316009521484375,0.9716796875,0.02471923828125
anatomy_60,anatomy,olmo3-7b,0,D,D,0.99853515625,0.00010538101196289062,6.699562072753906e-05,0.0014324188232421875,0.99853515625
anatomy_61,anatomy,olmo3-7b,0,C,B,0.1903076171875,0.339111328125,0.4287109375,0.1903076171875,0.04180908203125
anatomy_62,anatomy,olmo3-7b,0,B,A,0.07781982421875,0.77392578125,0.07781982421875,0.01395416259765625,0.134521484375
anatomy_63,anatomy,olmo3-7b,0,C,C,0.99853515625,0.0005106925964355469,9.47713851928711e-06,0.99853515625,0.00070953369140625
anatomy_64,anatomy,olmo3-7b,0,C,A,0.0859375,0.90966796875,0.0021514892578125,0.0859375,0.0021190643310546875
anatomy_65,anatomy,olmo3-7b,0,B,C,0.025634765625,0.1671142578125,0.025634765625,0.7373046875,0.0697021484375
anatomy_66,anatomy,olmo3-7b,0,D,D,0.53515625,0.031158447265625,0.43017578125,0.00344085693359375,0.53515625
anatomy_67,anatomy,olmo3-7b,0,C,C,0.83056640625,0.0027713775634765625,0.0003414154052734375,0.83056640625,0.1661376953125
anatomy_68,anatomy,olmo3-7b,0,D,B,0.0057525634765625,0.344970703125,0.486328125,0.1629638671875,0.0057525634765625
anatomy_69,anatomy,olmo3-7b,0,B,A,0.0193634033203125,0.904296875,0.0193634033203125,0.052642822265625,0.0237274169921875
anatomy_70,anatomy,olmo3-7b,0,B,A,0.0094146728515625,0.9755859375,0.0094146728515625,0.01306915283203125,0.0019426345825195312
anatomy_71,anatomy,olmo3-7b,0,A,A,1.0,1.0,4.172325134277344e-06,1.7285346984863281e-06,4.649162292480469e-06
anatomy_72,anatomy,olmo3-7b,0,D,C,0.00926971435546875,0.3759765625,0.2142333984375,0.400390625,0.00926971435546875
anatomy_73,anatomy,olmo3-7b,0,A,A,0.49609375,0.49609375,0.430908203125,0.057403564453125,0.0157012939453125
anatomy_74,anatomy,olmo3-7b,0,D,A,0.0009484291076660156,0.99267578125,0.0012569427490234375,0.005290985107421875,0.0009484291076660156
anatomy_75,anatomy,olmo3-7b,0,C,C,0.99658203125,0.0030269622802734375,0.00016045570373535156,0.99658203125,0.00022268295288085938
anatomy_76,anatomy,olmo3-7b,0,A,A,0.58447265625,0.58447265625,0.414306640625,0.00028967857360839844,0.001163482666015625
anatomy_77,anatomy,olmo3-7b,0,A,A,0.69921875,0.69921875,0.0010347366333007812,0.29150390625,0.00814056396484375
anatomy_78,anatomy,olmo3-7b,0,C,C,1.0,2.5033950805664062e-06,1.1920928955078125e-07,1.0,1.7881393432617188e-07
anatomy_79,anatomy,olmo3-7b,0,D,B,0.001953125,0.0012035369873046875,0.99609375,0.0008530616760253906,0.001953125
anatomy_80,anatomy,olmo3-7b,0,B,B,1.0,4.410743713378906e-06,1.0,0.0001055598258972168,1.7881393432617188e-06
anatomy_81,anatomy,olmo3-7b,0,B,C,0.081787109375,0.064697265625,0.081787109375,0.85205078125,0.0013017654418945312
anatomy_82,anatomy,olmo3-7b,0,C,D,0.0107421875,0.135009765625,0.0006351470947265625,0.0107421875,0.853515625
anatomy_83,anatomy,olmo3-7b,0,B,B,0.99951171875,0.000148773193359375,0.99951171875,0.0004239082336425781,7.510185241699219e-06
anatomy_84,anatomy,olmo3-7b,0,B,C,0.1995849609375,0.143798828125,0.1995849609375,0.654296875,0.0021495819091796875
anatomy_85,anatomy,olmo3-7b,0,C,C,0.99951171875,2.7954578399658203e-05,0.00010633468627929688,0.99951171875,0.00046539306640625
anatomy_86,anatomy,olmo3-7b,0,C,C,0.9892578125,0.002231597900390625,0.005191802978515625,0.9892578125,0.0034580230712890625
anatomy_87,anatomy,olmo3-7b,0,C,B,0.00383758544921875,0.32958984375,0.66552734375,0.00383758544921875,0.0008831024169921875
anatomy_88,anatomy,olmo3-7b,0,C,A,0.007595062255859375,0.54052734375,0.2117919921875,0.007595062255859375,0.239990234375
anatomy_89,anatomy,olmo3-7b,0,A,A,1.0,1.0,2.980232238769531e-07,2.086162567138672e-06,1.1920928955078125e-07
anatomy_90,anatomy,olmo3-7b,0,D,B,0.46630859375,0.0284423828125,0.46630859375,0.03887939453125,0.46630859375
anatomy_91,anatomy,olmo3-7b,0,B,A,0.1826171875,0.7568359375,0.1826171875,0.04547119140625,0.01499176025390625
anatomy_92,anatomy,olmo3-7b,0,B,B,0.95166015625,0.0014085769653320312,0.95166015625,0.044525146484375,0.0021820068359375
anatomy_93,anatomy,olmo3-7b,0,D,A,0.023681640625,0.63037109375,0.0087127685546875,0.33740234375,0.023681640625
anatomy_94,anatomy,olmo3-7b,0,A,B,0.00778961181640625,0.00778961181640625,0.98876953125,0.003002166748046875,0.00037598609924316406
anatomy_95,anatomy,olmo3-7b,0,C,A,0.0005788803100585938,0.99853515625,0.00024509429931640625,0.0005788803100585938,0.0006661415100097656
anatomy_96,anatomy,olmo3-7b,0,A,C,0.003879547119140625,0.003879547119140625,0.001201629638671875,0.9951171875,4.172325134277344e-06
anatomy_97,anatomy,olmo3-7b,0,C,B,0.138671875,0.32763671875,0.53173828125,0.138671875,0.002010345458984375
